industry_category,diner_count,depth,diner_category_large,diner_category_middle,diner_category_small,diner_category_detail
"가정,생활",452,1,,,,
"서비스,산업",5,1,,,,
음식점,232587,1,,,,
"가정,생활",452,2,기타,,,
"서비스,산업",5,2,기타,,,
음식점,19746,2,간식,,,
음식점,3932,2,기타,,,
음식점,28703,2,술집,,,
음식점,2764,2,아시아음식,,,
음식점,30445,2,양식,,,
음식점,12034,2,일식,,,
음식점,10861,2,중식,,,
음식점,16327,2,카페,,,
음식점,107138,2,한식,,,
"가정,생활",35,3,기타,식품판매,,
"가정,생활",164,3,기타,여가시설,,
"가정,생활",253,3,기타,유아,,
"서비스,산업",5,3,기타,전문대행,,
음식점,902,3,간식,닭강정,,
음식점,585,3,간식,도넛,,
음식점,3346,3,간식,"떡,한과",,
음식점,12,3,간식,비첸향,,
음식점,2506,3,간식,아이스크림,,
음식점,5,3,간식,왕코미네탕후루,,
음식점,10416,3,간식,"제과,베이커리",,
음식점,105,3,간식,초콜릿,,
음식점,556,3,간식,토스트,,
음식점,32,3,간식,호시타코야끼,,
음식점,15,3,간식,황제탕후루,,
음식점,608,3,기타,구내식당,,
음식점,1743,3,기타,뷔페,,
음식점,204,3,기타,푸드코트,,
음식점,1377,3,기타,퓨전요리,,
음식점,4971,3,술집,실내포장마차,,
음식점,675,3,술집,오뎅바,,
음식점,1492,3,술집,와인바,,
음식점,3075,3,술집,일본식주점,,
음식점,1521,3,술집,칵테일바,,
음식점,4,3,술집,파이널나인,,
음식점,13108,3,술집,"호프,요리주점",,
음식점,2131,3,아시아음식,동남아음식,,
음식점,240,3,아시아음식,인도음식,,
음식점,22,3,아시아음식,탄탄면공방,,
음식점,64,3,아시아음식,튀르키예음식,,
음식점,425,3,양식,"멕시칸,브라질",,
음식점,1284,3,양식,샌드위치,,
음식점,1331,3,양식,샐러드,,
음식점,15,3,양식,서가앤쿡,,
음식점,366,3,양식,"스테이크,립",,
음식점,38,3,양식,스페인음식,,
음식점,2092,3,양식,이탈리안,,
음식점,12582,3,양식,치킨,,
음식점,13,3,양식,파스토보이,,
음식점,207,3,양식,패밀리레스토랑,,
음식점,21,3,양식,프랑스음식,,
음식점,4427,3,양식,피자,,
음식점,67,3,양식,해산물,,
음식점,3385,3,양식,햄버거,,
음식점,3990,3,일식,"돈까스,우동",,
음식점,7,3,일식,면식당,,
음식점,73,3,일식,백소정,,
음식점,4,3,일식,오니기리,,
음식점,615,3,일식,일본식라면,,
음식점,843,3,일식,일식집,,
음식점,1026,3,일식,참치회,,
음식점,107,3,일식,철판요리,,
음식점,2407,3,일식,"초밥,롤",,
음식점,31,3,일식,타코비,,
음식점,7,3,일식,토끼정,,
음식점,1341,3,중식,양꼬치,,
음식점,7502,3,중식,중국요리,,
음식점,113,3,카페,공차,,
음식점,5,3,카페,날쌘카페,,
음식점,196,3,카페,다방,,
음식점,48,3,카페,바나프레소,,
음식점,2,3,카페,반달커피,,
음식점,2,3,카페,벌크커피,,
음식점,2,3,카페,브런치빈,,
음식점,171,3,카페,생과일전문점,,
음식점,29,3,카페,아마스빈,,
음식점,3,3,카페,아임일리터,,
음식점,1,3,카페,오설록 티하우스,,
음식점,121,3,카페,전통찻집,,
음식점,26,3,카페,차얌,,
음식점,1,3,카페,카페마마스,,
음식점,5,3,카페,커피마마퀸,,
음식점,5417,3,카페,커피전문점,,
음식점,2667,3,카페,테마카페,,
음식점,13,3,카페,팔공티,,
음식점,2,3,카페,흑화당,,
음식점,1532,3,한식,감자탕,,
음식점,684,3,한식,곰탕,,
음식점,2905,3,한식,국밥,,
음식점,5551,3,한식,국수,,
음식점,19,3,한식,기막힌밥상,,
음식점,197,3,한식,기사식당,,
음식점,1474,3,한식,냉면,,
음식점,26,3,한식,덮덮밥,,
음식점,21,3,한식,덮밥90도씨,,
