,reviewer_review,reviewer_avg,reviewer_review_cnt,reviewer_review_score,reviewer_review_date,reviewer_id,diner_idx
0,서비스 마인드 비추,3.7,3,1.0,2024.01.16.,"가을하늘
브론즈 배지
레벨
2",10201230
1,마음 상해서 나옴,4.0,5,1.0,2024.01.09.,"스마일
브론즈 배지
레벨
3",10201230
2,,2.3,3,1.0,2022.12.07.,"손
브론즈 배지
레벨
2",10201230
0,"산행하고, 순두부랑 돌솥비빔밥 먹었는데, 순두부 너무 맛있어서 그릇 박박 긁어서 국물 다 먹었어요~~
밑반찬도 맛있어서 리필도 잘해주시구..
담에 그쪽으로 하산하면 필히 방문예정입니다~",2.1,10,5.0,2024.01.13.,"솜이
브론즈 배지
레벨
10",10908233
1,,4.5,2,4.0,2023.11.19.,"이호조
브론즈 배지
레벨
1",10908233
2,맛있게 잘 먹었습니다.,4.8,5,5.0,2023.09.09.,"..
브론즈 배지
레벨
1",10908233
8,할아버지 너무 불친절합니다,2.7,12,1.0,2023.09.03.,"춘애
브론즈 배지
레벨
5",10908233
9,"맛있고 가성비!! 돌솥비빔밥, 열무국수, 해물파전 먹었는데 33000원 나왔어요 존 맛! 앞에 계곡 있어서 여름 잔뜩 느끼며 먹을 수 있슴당",3.5,10,4.0,2023.08.26.,"김수영
실버 배지
레벨
12",10908233
10,"관악산 다녀와서 꼭들려야하는 맛집
진짜 최고 사장님 서비스도 너무 좋으시고 
백숙도 오랜만에 너무 맛잇게 먹었습니다
파전도 맛잇고 김치찌개도 너무너무 맛있어요
등치큰 남자넷이서 9만원도 안되는 돈으로 배 가득 채우고 왔습니다
김치도 직접담구셔서 맛있고 좋아요👍🏻
더보기",5.0,3,5.0,2023.03.02.,"뚜따
브론즈 배지
레벨
5",10908233
11,"아래 댓글 그대로.
맛, 친절, 가성비.",4.5,20,5.0,2022.10.14.,"flyingnakji
실버 배지
레벨
11",10908233
12,더 유명한 집이 불친절 후기가 많아 선택한곳인데 최고.. 닭볶음탕 3인분인데 둘이서 싹싹 먹음 내년에 또 갈 것임,4.0,346,5.0,2022.09.18.,"맛집게이터
골드 배지
레벨
31",10908233
18,"몸보신 할겸 마지막으로 계곡도 구경할겸 
검색하다 후기가 좋길래 온건데, 
일단 밑반찬 먹자마자 진짜 맛집이구나 느낌..!
닭백숙 진짜 대대대대존맛 ㅠㅠㅠㅠㅠㅠㅠ
닭은 엄청 쫄깃하면서 국물이 시원담백 미쳐씀ㅠㅠ
죽도 슴슴하면서 고소해서 거의 다 먹었어요
사장님께서 계속 살펴보시면서 부족한거 없는지 챙겨주시고,
사람 없는 시간대라고 강아지랑 같이 먹는 것도 허락해주셨어요💕 (원래 야외테이블만 이용가능)

아 열무국수도 세상 맛있었어여
둘이서 갔는데 거의 다 먹고ㅋㅋㅋㅋㅋ 배불러서 저녁도 패스했습니다. 해물파전이랑 도토리묵도 먹고싶었는데 다 못 시켜서 아쉬웠어여... 무조건 재방문 할거예요!
더보기",4.8,22,5.0,2022.09.01.,"🌷
실버 배지
레벨
16",10908233
19,"음식이 전부 정갈하고 맛있으며 가성비넘친다
백숙은 닭고 엄청 크고 쫄깃하니 맛있지만 국물이 진가를 발휘한다.
단돈 8천원에 6가지 반찬과 6가지 나물이 들어간 비빔밥을 우렁이 가득한 된장찌개와 함께 즐길 수 있다니...과연 사장님의 인심은 어디까인가.
내가 사랑하는 맛집.
더보기",3.8,168,5.0,2022.08.26.,"HOPE
골드 배지
레벨
41",10908233
20,"향교집 음식 너무~~맛있어요.
파전, 도토리묵, 감자전, 열무김치 정말 맛있습니다.
사장님, 직원분들도 친절해서 더 맘에 들어요.
풀장집, 돌담집은 메인요리(백숙, 닭도리탕) 주문해야한다고 퇴짜 맞았어요.
저는 전을 더 좋아하거든요.
이용하시는 분들 참고하세요~
더보기",5.0,10,5.0,2022.07.25.,"너굴이
브론즈 배지
레벨
8",10908233
21,돌솥비빔밥 맛있어요 반찬도 정갈하구요~,4.1,213,5.0,2022.01.29.,"동백
골드 배지
레벨
33",10908233
22,"바로 근처 돌담집식당 이라는 곳에서 망친 기분
향교집에서 맛있는 음식과 친절하신 이모님들 덕에 풀었습니당
해물파전과 두부김치 순두부찌개 진짜 너무 맛있어서 담번에 다른 메뉴들 먹으러 가려구요!!!!",3.5,6,5.0,2021.05.30.,"라이
실버 배지
레벨
11",10908233
23,"등산 마치고 도토리묵과 막걸리 맛있게 먹었어요.
근처 직장인 분들은 돌솥비빔밥 많이 주문하네요.",4.2,11,4.0,2021.03.08.,"hawk
브론즈 배지
레벨
10",10908233
24,,4.8,"1,098",5.0,2016.10.21.,"설문규
실버 배지
레벨
22",10908233
0,"산행 후 몇 번 갔던 '땅이네', 그때마다 사람이 만원.... 가족 기업이라 그런지 반찬 맛이나 친절함 그리고 분위기도 최고!!! 특히, 안주로 나오는 파전과 감자전 맛이 일품이었는데, 사장님이 직접 담당하셨습니다. 강추~~^^. 물론 식사 메뉴들도 다 맛났어요! 절대 후회 포기하실 겁니다!",5.0,3,5.0,2023.11.12.,"이인숙
브론즈 배지
레벨
1",13612512
1,"관악산 갔다가 하산해서 밥 먹으러 들렀어요. 내려오자마자 처음 보여서 들어갔던 곳은(계곡쪽에 있는,,)주말에는 백숙만 된다고 식사 손님은 안 받으셨는데,,, 예상치 못하게 들어온 바로 아랫집에서 서비스도 너무 좋으셨고 음식도 맛있어서 친구들이랑 좋은 시간 보내고 왔어요.",4.0,196,5.0,2023.07.03.,"세로토닌
골드 배지
레벨
36",13612512
2,"닭볶음탕, 메밀묵, 잔치국수 모두 맛있었고 직원분들 친절하십니다.",5.0,1,5.0,2023.03.03.,"진근
브론즈 배지
레벨
3",13612512
0,"과천 살아서 자주 가는 맛집.
평일엔 혼자 백반에 막걸리 한잔하기도
좋아요. 반찬맛이 다 깔끔하고 깨끗한 맛..
보리밥 백반을 제일 좋아합니다.
더보기",3.7,12,5.0,2023.10.02.,"과천제일검
브론즈 배지
레벨
9",8664102
1,가격 대비 구성이 좋고 친절하심. 기본 제공되는 해물된장찌개에 들어간 바지락이 기대 이상 씨알이 굵고 양이 많아 놀람. 재료들 보면 사장님이 음식에 성의가 있으신듯.,3.6,521,4.0,2023.07.21.,"맛보기
골드 배지
레벨
43",8664102
2,,4.5,16,5.0,2023.02.12.,"nuts
브론즈 배지
레벨
5",8664102
6,정갈하니 맛좋고 푸짐합니다. 밥시키면 기본 고등어랑 된장찌개 포함인거같아요. 보리밥과 비빔밥의 차이는 보리밥은 산채비빔밥 느낌이고 비빔밥은 전주비빔밥 느낌이예요. 된장찌개가 존맛. 꼭드세요. 게도 있고 바지락이 많이 들어가서인지 진짜 시원한맛나고 맛있어요. 사진은 앞접시에 덜은양이고 실제로는 냄비로 한아름 주십니다ㅎ 숟젓가락 전부 살균포장되어있어 깨끗합니다. 근데 가게들어서면 문발때문인지 초가집 대청마루냄새가 나요. 별하나 뺀이유는 제가 산채비빔 안좋아하는데 심지어 애매한산채느낌이라ㅜ밥은 걍 무난했어요.,3.5,185,4.0,2022.04.09.,"ONE
골드 배지
레벨
39",8664102
7,완전 친절하시고 가격도 싼편이고 반찬이랑 음식 다 맛있어요,4.1,7,5.0,2020.09.06.,"오냥
브론즈 배지
레벨
8",8664102
8,,4.8,"1,098",5.0,2016.10.21.,"설문규
실버 배지
레벨
22",8664102
0,뭐 시켜서 실망한 적 없음. 계산할때도 마찬가지!,3.8,34,5.0,2024.01.29.,"히린
실버 배지
레벨
17",226102335
1,먹태 맛집 찾다가 집근처에서 눈여겨보고 한번 방문했다가 먹태포장만 3번정도~ 메뉴가 다 괜찮아보여서 지인 데리고 방문했다가 너무 맛있는곳!!! 진짜 토마토스튜 연어도 맛있고 오늘은 해물떡볶이에 우동면으로 해서 먹태랑 포장해서 집에서 먹는데 해물떡볶이도 엄청 매콤하고 동네에 제일 맛있는 술집인거같아요~!🙏🏻🙏🏻,5.0,3,5.0,2023.06.10.,"뇽뇽
브론즈 배지
레벨
4",226102335
2,,4.7,31,5.0,2021.11.25.,"익명의
브론즈 배지
레벨
3",226102335
0,비즈타워에 업장을 가진 친구가 주선한 모임이 있어서 방문함. 맛 가격 친절 분위기 … 이 모든 것이 보통(무난한)인 가게임.,4.3,19,4.0,2023.10.08.,"smile watching (Ryu)
실버 배지
레벨
12",26610610
1,곤드레 나물밥 맛있어요 직원들 부서카드로 밥먹을때 여기 자주와영,3.5,20,5.0,2023.08.31.,"뮤무
실버 배지
레벨
11",26610610
2,,4.7,111,5.0,2022.09.29.,"쀼
실버 배지
레벨
24",26610610
0,"돈치컵?시켰고 맛을 고려했을 때 6천원 전혀 안아깝습니다.. 쌀떡이 보들보들쫀닥쫀닥하고 돈가스 바삭해용 
치즈도 좋은거 쓰는 거 같아요. 불친절하단 평이 많은데 아주머님 친절하심",3.9,7,5.0,2023.03.21.,"웅앙
브론즈 배지
레벨
6",2097285732
1,엄청 짜고 돈까스도 기름지고 불친절해요,2.3,10,1.0,2021.06.15.,"ㅈ
브론즈 배지
레벨
6",2097285732
2,"맛을 떠나 친절하지 않네요,,,,",2.0,29,1.0,2021.01.03.,"헐랭방구
실버 배지
레벨
12",2097285732
6,"조미료 안 넣은 듯한 자극적이지 않은 맛이에요
걸죽한 소스에 달달한 쌀떡볶이에요
튀김류를 잘 튀기고 맛있어요
돈까스도 잡내없이 맛있습니다
포장 배달 전문이라 홀은 작아요
주문 동시에 조리돼서 10~15분정도 소요됩니다
더보기",3.5,494,4.0,2020.12.30.,"cherry
골드 배지
레벨
53",2097285732
7,"떡타르시스 s 먹었습니다, 떡볶이는 떡도 말랑말랑 맛있지만 국물이 더 메인 같아요 돈까스, 튀김 둘 다 안느끼하고 바삭바삭한데 떡볶이 국물이랑 궁합이 정말 좋아요 특히 김말이튀김 치즈가스 진짜 맛있네요, 포장할때는 튀김류 따로 담아주시니까 눅눅해질 걱정 안하셔도 될 것 같아요",4.6,67,5.0,2020.11.03.,"맛있다!
실버 배지
레벨
25",2097285732
8,"맛있어요!! 가성비 짱!!! 
오징어튀김도 있음 좋겠어요:)",5.0,4,5.0,2020.04.07.,"다소리과자점
브론즈 배지
레벨
4",2097285732
0,,5.0,6,5.0,2024.01.06.,"₩
브론즈 배지
레벨
3",939149670
1,,3.2,40,5.0,2023.10.09.,"내맘대로할꺼야
브론즈 배지
레벨
9",939149670
2,떡이 맛있습니다.,3.7,73,5.0,2023.08.18.,"김시언
실버 배지
레벨
21",939149670
0,"국물맛있음. 김치는조금그랬음. 고기는 비계많은데 쫀득한 비계라 그래도 비계많음. 고기도 많음. 순대가 맛있었음. 친절함. 식사시간 지났는데도 어르신들
계속 들어옴",3.8,229,5.0,2023.12.11.,"Hachi
골드 배지
레벨
38",24163598
1,순대국 좋아해서 소개받아서 갔는데 근방에서 제일 맛있는 순대국집입니다. 주차가 좀 불편한데 그 정도 감내할 정도로 훌륭해요.,4.6,8,5.0,2023.11.24.,"하은미
브론즈 배지
레벨
5",24163598
2,,4.7,14,5.0,2023.11.14.,"mmm
브론즈 배지
레벨
7",24163598
0,"순댓국은 so so, 육개장맛집",4.2,21,5.0,2022.10.10.,"민지영
실버 배지
레벨
15",1849114707
1,저녁 시간대 손님은 저혼자...주문하고 나서 서빙보는 이모님이 휴지통을 만지고 쓰레기를 만진 손으로 내 육개장을 나릅니다. 그리고 주방 옆에서 손톱깍기로 손톱을 깍습니다. 저 밥먹는 동안 토 나올뻔 한걸 참고 말하려고 한것도 참고 이렇게 올립니다. 장사하시기전에 기본 예의를 배우셨으면....흠,1.0,1,1.0,2020.08.20.,"이은주
브론즈 배지
레벨
1",1849114707
0,무난히 먹을만함 ㅇㅇ,3.2,114,4.0,2023.12.29.,"T
실버 배지
레벨
24",504620684
0,,5.0,1,5.0,2023.11.18.,"정찬우
브론즈 배지
레벨
2",27547404
1,가끔 퇴근하면서 저녁먹으러 방문하거나 점심 주문을 하고있습니다. 친절하고 맛도 좋아요 :),4.8,18,5.0,2023.05.04.,"labn
브론즈 배지
레벨
10",27547404
2,"주인이 바뀐건가 후기들이랑 완전 다른 친절한 가게네요. 점심시간에 가서 3-40분 늦을 수 있다고 먼저 알려주시고 주문했는데도 음식 주실 때 죄송하다고 하는게 마음이 안좋았어요ㅠㅠ

바빠보이는데 직원분들 짜증내는 분 없고 서로 으쌰으쌰하는 것 같아서 보기 좋았습니다.",4.3,12,5.0,2023.01.16.,"선종균
브론즈 배지
레벨
8",27547404
8,문을 닫을거면 영업 시간을 수정하던지요.. 주말 근무도 짜증나는데 헛탕치게하시네..ㅋㅋㅋㅋ,3.5,22,1.0,2022.07.29.,"물만두
실버 배지
레벨
11",27547404
9,,2.2,34,5.0,2022.04.25.,"샤랄라
실버 배지
레벨
14",27547404
10,주변에 회사 많아서 그거 믿고 그러는건지 몰라도 혼자 온 손님한테는 개구데기 싸가지ㅋㅋ 포장 하나만 하려면 손님 말 끝나기도 전에 먹고 가는거도 안되고 지금 안된다고 나가라고 하고 사장이랑 알바랑 누가 더 싸가지 없나 겨루는거 같음ㅋㅋㅋ;,1.0,2,1.0,2022.02.07.,"맹
브론즈 배지
레벨
2",27547404
11,4가지 치마에 비벼먹음,3.2,32,1.0,2022.01.19.,"hozeze
실버 배지
레벨
18",27547404
12,아오 4가지가 아주그냥~끝내줘요!!,3.3,26,1.0,2021.06.09.,"김종현
실버 배지
레벨
12",27547404
18,별 한 개도 아까워요. 불친절.,3.3,16,1.0,2020.11.24.,"머털도사
브론즈 배지
레벨
10",27547404
19,,5.0,15,5.0,2020.08.25.,"호두
브론즈 배지
레벨
4",27547404
20,"별한개도  아까운 집 입니다!
불친절에  끝판왕",3.2,9,1.0,2020.03.26.,"ㅋ
브론즈 배지
레벨
6",27547404
21,맛잇고 친절하세요,4.0,3,5.0,2019.06.08.,"이민수
브론즈 배지
레벨
3",27547404
22,완전 불친절 주인이 진짜 장사하기 싫은 것 같아요,1.0,1,1.0,2018.10.11.,"고래고기
브론즈 배지
레벨
3",27547404
25,불친절...,3.0,2,1.0,2018.09.02.,"김영태
브론즈 배지
레벨
2",27547404
26,"불친절, 근처 다른 도시락집 이용하세요",2.1,7,1.0,2018.07.29.,"폭격기
브론즈 배지
레벨
5",27547404
0,포장했는데 양많고 맛있네요 잘먹었습니다,4.1,8,5.0,2023.09.15.,"라따뚜이
브론즈 배지
레벨
5",1343154662
0,,3.4,23,4.0,2023.08.29.,"고스시
실버 배지
레벨
13",19952100
1,조금 기분이 나빠요..,3.7,73,2.0,2023.08.18.,"김시언
실버 배지
레벨
21",19952100
2,배달기사가 안잡히면 배달불가라고 하던가요. 대응도 불친절해서 기분 나쁘네요,3.7,15,1.0,2022.03.27.,"냠냠
브론즈 배지
레벨
10",19952100
5,"알바분이 친절하셨는데
주인이 서비스마인드가 없음ㅋㅋㅋ
구석테이블엔 사장 아내로 추측되는 단발 여자분,
알바면접보는데 매장이 떠나가라 따지듯이 캐묻고...ㅎㅎㅎ
열려있는 빵도 많은데 심지어 두 분, 
이 상황에 마스크도 안씀ㅋㅋ
그 와중에 빵은 맛있음;;;
더보기",2.8,108,2.0,2020.03.31.,"내가직접판단한다
실버 배지
레벨
27",19952100
6,리모델링하고 처음갔는데 직원분들도 완전 친절하시구 빵도 맛있었어요:)) ♥♥♥♥♥,5.0,7,5.0,2018.11.10.,"ㄴㅇㅁ
브론즈 배지
레벨
8",19952100
0,크림파스타 먹었는데 꾸덕하니 맛있어요. 분위기도 흘러나오는 음악도 다 좋네요,4.4,19,5.0,2023.12.28.,"가루시파
브론즈 배지
레벨
10",19571035
1,돈까스랑 함박스테이크 맛 괜찮아요.,4.4,114,4.0,2023.12.15.,"식도락여행
실버 배지
레벨
23",19571035
2,피자랑 끼안띠 와인 잘 어울렸어요! 음식 맛있고 포근한 분위기예요,3.8,34,5.0,2023.12.01.,"히린
실버 배지
레벨
17",19571035
0,남자사장님이 말만 친절하고 행동은 기분나쁜듯이 해서 별로. 맛도 없어지고 점점 건더기 줄어들고 별로,1.8,26,1.0,2023.08.31.,"화가나면리뷰담
실버 배지
레벨
14",808094148
1,"진짜 맛있는데(계란말이 강추, 꼭 먹을 것) 찌개 건더기가 너무 적은게 흠이라 1점 감점",4.3,11,4.0,2020.06.23.,"띠로리
브론즈 배지
레벨
8",808094148
0,,5.0,2,5.0,2023.12.31.,"김용규
브론즈 배지
레벨
2",1504306073
1,,5.0,1,5.0,2023.10.31.,"류영철
브론즈 배지
레벨
2",1504306073
2,,3.3,7,5.0,2023.06.30.,"H
브론즈 배지
레벨
6",1504306073
0,너무 맛있고 가성비 굳 그리고 사장님 저 오늘 전역했는데 이제껏 먹었던 피자들 중에 맛있어요,3.0,2,5.0,2023.12.22.,"JHJ
브론즈 배지
레벨
3",822400214
1,타 브랜드 피자보다 싸고 맛도 괜찮아서 좋아요. 제 집 근처 수제 피자보다 만족스럽습니다.,4.1,18,5.0,2023.07.02.,"허서영
브론즈 배지
레벨
10",822400214
0,"제가 피자를 정말 좋아하는데.. 여기 피자스쿨 포테이토 피자만 먹는답니다ㅠㅠ
저희 엄마가 항상 포장주문 전화를 하시는데 매번 전화하실 때마다 너무 친절하시다고 좋아하셔요.
매번 웃으시면서 피자 건네주시고 친절하셔요 정말..
아프지 마시고 오래오래 장사해주시고 부자 되세요!!❤️
더보기",3.2,40,5.0,2023.10.09.,"내맘대로할꺼야
브론즈 배지
레벨
9",8129064
1,맛있어요! 다만 주문이 많아서 미리 전화하고 가는걸 추천.,3.0,4,5.0,2023.07.29.,"뽀기
브론즈 배지
레벨
5",8129064
2,"역시 나만 느낀게 아니였어…
여기가 다른 피자스쿨과 차원이 다르다는걸…
도미노 안녕이다…꼭 번창하세용!!!",5.0,2,5.0,2023.07.14.,"2소진
브론즈 배지
레벨
4",8129064
0,,3.1,27,5.0,2023.06.27.,".
실버 배지
레벨
13",12526244
1,짜요,4.5,2,4.0,2022.01.31.,"수진
브론즈 배지
레벨
2",12526244
2,"크레이지 불새랑 치폴레 스테이크 먹었는데 진짜 맛있었어요 특히 불새....
도우가 깨찰빵 맛이 나서 좋네요~~가격도 싸고 넘 좋슴당",3.3,33,5.0,2018.03.23.,"우잉
실버 배지
레벨
17",12526244
0,,5.0,1,5.0,2023.12.20.,"박종욱
브론즈 배지
레벨
2",1532401995
1,중국산미꾸라지를 쓰는건지 추어탕도 진짜 맛대가리 없고 추어튀김도 쓰고 개맛없어요! 더신안감 비싸기만!!!!!,1.7,6,1.0,2023.11.03.,"ㅅㅅ
브론즈 배지
레벨
3",1532401995
2,재방문~가격은 싸지않지만 이만한 맛을 아직 찾지 못했다,4.5,8,5.0,2023.10.21.,"주은혜
브론즈 배지
레벨
8",1532401995
0,"가짓수가 많지는 않아도 하나하나 다 맛있었어요!!
북적이지 않아서 더 좋았음!",3.9,70,5.0,2023.11.22.,"mono
실버 배지
레벨
22",26591885
1,"가격대비 그닥..
뷰는 좋지만 음식 종류 다양하지 못한편
음식은 그냥저냥",3.1,25,2.0,2023.09.15.,"우끼끼
실버 배지
레벨
17",26591885
2,,5.0,2,5.0,2023.07.31.,"최상권
브론즈 배지
레벨
2",26591885
0,메가밸리 식당중 그나마 제일 맛나요,2.7,54,5.0,2022.07.30.,"개척자
실버 배지
레벨
21",1691016720
0,맛잇는데 가격도 싸네요 자주 갈 것 같아요,4.6,217,5.0,2022.12.15.,"희야
실버 배지
레벨
28",5851607
